name_name,name_url,name_rank,name_rank_url,name_Athletics,name_Athletics_url
Marian University - Indiana,https://www.niche.com/colleges/marian-university---indiana/,482,https://www.niche.com/colleges/marian-university---indiana/,B,https://www.niche.com/colleges/marian-university---indiana/
Southern Nazarene University,https://www.niche.com/colleges/southern-nazarene-university/,483,https://www.niche.com/colleges/southern-nazarene-university/,B,https://www.niche.com/colleges/southern-nazarene-university/
Minot State University,https://www.niche.com/colleges/minot-state-university/,484,https://www.niche.com/colleges/minot-state-university/,B,https://www.niche.com/colleges/minot-state-university/
Lee University,https://www.niche.com/colleges/lee-university/,485,https://www.niche.com/colleges/lee-university/,B,https://www.niche.com/colleges/lee-university/
Fordham University,https://www.niche.com/colleges/fordham-university/,486,https://www.niche.com/colleges/fordham-university/,B,https://www.niche.com/colleges/fordham-university/
Hampton University,https://www.niche.com/colleges/hampton-university/,487,https://www.niche.com/colleges/hampton-university/,B,https://www.niche.com/colleges/hampton-university/
Alabama A&M University,https://www.niche.com/colleges/alabama-a-and-m-university/,488,https://www.niche.com/colleges/alabama-a-and-m-university/,B,https://www.niche.com/colleges/alabama-a-and-m-university/
Fairfield University,https://www.niche.com/colleges/fairfield-university/,489,https://www.niche.com/colleges/fairfield-university/,B,https://www.niche.com/colleges/fairfield-university/
Ohio Wesleyan University,https://www.niche.com/colleges/ohio-wesleyan-university/,490,https://www.niche.com/colleges/ohio-wesleyan-university/,B,https://www.niche.com/colleges/ohio-wesleyan-university/
Florida A&M University,https://www.niche.com/colleges/florida-a-and-m-university/,491,https://www.niche.com/colleges/florida-a-and-m-university/,B,https://www.niche.com/colleges/florida-a-and-m-university/
Tabor College,https://www.niche.com/colleges/tabor-college/,492,https://www.niche.com/colleges/tabor-college/,B,https://www.niche.com/colleges/tabor-college/
Arkansas Tech University,https://www.niche.com/colleges/arkansas-tech-university/,493,https://www.niche.com/colleges/arkansas-tech-university/,B,https://www.niche.com/colleges/arkansas-tech-university/
Bates College,https://www.niche.com/colleges/bates-college/,494,https://www.niche.com/colleges/bates-college/,B,https://www.niche.com/colleges/bates-college/
California State University - Bakersfield,https://www.niche.com/colleges/california-state-university---bakersfield/,495,https://www.niche.com/colleges/california-state-university---bakersfield/,B,https://www.niche.com/colleges/california-state-university---bakersfield/
University of Charleston,https://www.niche.com/colleges/university-of-charleston/,496,https://www.niche.com/colleges/university-of-charleston/,B,https://www.niche.com/colleges/university-of-charleston/
Ithaca College,https://www.niche.com/colleges/ithaca-college/,497,https://www.niche.com/colleges/ithaca-college/,B,https://www.niche.com/colleges/ithaca-college/
University of Saint Francis - Indiana,https://www.niche.com/colleges/university-of-saint-francis---indiana/,498,https://www.niche.com/colleges/university-of-saint-francis---indiana/,B,https://www.niche.com/colleges/university-of-saint-francis---indiana/
Howard Payne University,https://www.niche.com/colleges/howard-payne-university/,499,https://www.niche.com/colleges/howard-payne-university/,B,https://www.niche.com/colleges/howard-payne-university/
Belmont Abbey College,https://www.niche.com/colleges/belmont-abbey-college/,500,https://www.niche.com/colleges/belmont-abbey-college/,B,https://www.niche.com/colleges/belmont-abbey-college/
Loyola University Chicago,https://www.niche.com/colleges/loyola-university-chicago/,501,https://www.niche.com/colleges/loyola-university-chicago/,B,https://www.niche.com/colleges/loyola-university-chicago/
University of Hartford,https://www.niche.com/colleges/university-of-hartford/,502,https://www.niche.com/colleges/university-of-hartford/,B,https://www.niche.com/colleges/university-of-hartford/
Dallas Baptist University,https://www.niche.com/colleges/dallas-baptist-university/,503,https://www.niche.com/colleges/dallas-baptist-university/,B,https://www.niche.com/colleges/dallas-baptist-university/
Hope College,https://www.niche.com/colleges/hope-college/,504,https://www.niche.com/colleges/hope-college/,B,https://www.niche.com/colleges/hope-college/
Adrian College,https://www.niche.com/colleges/adrian-college/,505,https://www.niche.com/colleges/adrian-college/,B,https://www.niche.com/colleges/adrian-college/
Henderson State University,https://www.niche.com/colleges/henderson-state-university/,506,https://www.niche.com/colleges/henderson-state-university/,B,https://www.niche.com/colleges/henderson-state-university/
Wayne State College,https://www.niche.com/colleges/wayne-state-college/,507,https://www.niche.com/colleges/wayne-state-college/,B,https://www.niche.com/colleges/wayne-state-college/
University of California - Irvine,https://www.niche.com/colleges/university-of-california---irvine/,508,https://www.niche.com/colleges/university-of-california---irvine/,B,https://www.niche.com/colleges/university-of-california---irvine/
Central Washington University,https://www.niche.com/colleges/central-washington-university/,509,https://www.niche.com/colleges/central-washington-university/,B,https://www.niche.com/colleges/central-washington-university/
Chowan University,https://www.niche.com/colleges/chowan-university/,510,https://www.niche.com/colleges/chowan-university/,B,https://www.niche.com/colleges/chowan-university/
University of San Diego,https://www.niche.com/colleges/university-of-san-diego/,511,https://www.niche.com/colleges/university-of-san-diego/,B,https://www.niche.com/colleges/university-of-san-diego/
Indiana State University,https://www.niche.com/colleges/indiana-state-university/,512,https://www.niche.com/colleges/indiana-state-university/,B,https://www.niche.com/colleges/indiana-state-university/
Catholic University of America,https://www.niche.com/colleges/catholic-university-of-america/,513,https://www.niche.com/colleges/catholic-university-of-america/,B,https://www.niche.com/colleges/catholic-university-of-america/
Rollins College,https://www.niche.com/colleges/rollins-college/,514,https://www.niche.com/colleges/rollins-college/,B,https://www.niche.com/colleges/rollins-college/
Sacred Heart University,https://www.niche.com/colleges/sacred-heart-university/,515,https://www.niche.com/colleges/sacred-heart-university/,B,https://www.niche.com/colleges/sacred-heart-university/
Kutztown University of Pennsylvania,https://www.niche.com/colleges/kutztown-university-of-pennsylvania/,516,https://www.niche.com/colleges/kutztown-university-of-pennsylvania/,B,https://www.niche.com/colleges/kutztown-university-of-pennsylvania/
Eastern New Mexico University,https://www.niche.com/colleges/eastern-new-mexico-university/,517,https://www.niche.com/colleges/eastern-new-mexico-university/,B,https://www.niche.com/colleges/eastern-new-mexico-university/
Western Oregon University,https://www.niche.com/colleges/western-oregon-university/,518,https://www.niche.com/colleges/western-oregon-university/,B,https://www.niche.com/colleges/western-oregon-university/
Edinboro University,https://www.niche.com/colleges/edinboro-university/,519,https://www.niche.com/colleges/edinboro-university/,B,https://www.niche.com/colleges/edinboro-university/
Manhattan College,https://www.niche.com/colleges/manhattan-college/,520,https://www.niche.com/colleges/manhattan-college/,B,https://www.niche.com/colleges/manhattan-college/
Mississippi Valley State University,https://www.niche.com/colleges/mississippi-valley-state-university/,521,https://www.niche.com/colleges/mississippi-valley-state-university/,B,https://www.niche.com/colleges/mississippi-valley-state-university/
Concordia University - Ann Arbor,https://www.niche.com/colleges/concordia-university---ann-arbor/,522,https://www.niche.com/colleges/concordia-university---ann-arbor/,B,https://www.niche.com/colleges/concordia-university---ann-arbor/
Utica College,https://www.niche.com/colleges/utica-college/,523,https://www.niche.com/colleges/utica-college/,B,https://www.niche.com/colleges/utica-college/
Southern Arkansas University,https://www.niche.com/colleges/southern-arkansas-university/,524,https://www.niche.com/colleges/southern-arkansas-university/,B,https://www.niche.com/colleges/southern-arkansas-university/
East Stroudsburg University of Pennsylvania,https://www.niche.com/colleges/east-stroudsburg-university-of-pennsylvania/,525,https://www.niche.com/colleges/east-stroudsburg-university-of-pennsylvania/,B,https://www.niche.com/colleges/east-stroudsburg-university-of-pennsylvania/
Oklahoma Christian University,https://www.niche.com/colleges/oklahoma-christian-university/,526,https://www.niche.com/colleges/oklahoma-christian-university/,B,https://www.niche.com/colleges/oklahoma-christian-university/
University of Texas - Rio Grande Valley,https://www.niche.com/colleges/university-of-texas---rio-grande-valley/,527,https://www.niche.com/colleges/university-of-texas---rio-grande-valley/,B,https://www.niche.com/colleges/university-of-texas---rio-grande-valley/
Pepperdine University,https://www.niche.com/colleges/pepperdine-university/,528,https://www.niche.com/colleges/pepperdine-university/,B,https://www.niche.com/colleges/pepperdine-university/
Norwich University,https://www.niche.com/colleges/norwich-university/,529,https://www.niche.com/colleges/norwich-university/,B,https://www.niche.com/colleges/norwich-university/
